"Age","Cmp","Att","Cmp.","Yds","TD","TD.","Int","Int.","Lng","Y.A","AY.A","Y.C","Y.G","Rate","QBR","Sk","Yds.1","NY.A","ANY.A","Sk.","X4QC","Wins"
27,381,553,68.9,4049,19,3.4,10,1.8,66,7.3,7.2,10.6,253.1,93.9,49.3,51,299,6.21,6.09,8.4,3,4
25,356,526,67.7,3885,22,4.2,8,1.5,90,7.4,7.5,10.9,242.8,96.9,58.6,56,347,6.08,6.22,9.6,3,10
37,347,508,68.3,4308,32,6.3,12,2.4,75,8.5,8.7,12.4,269.3,105.5,71.2,32,204,7.6,7.79,5.9,3,12
23,345,505,68.3,4165,26,5.1,9,1.8,73,8.2,8.5,12.1,260.3,103.1,63,62,384,6.67,6.87,10.9,5,11
39,364,489,74.4,3992,32,6.5,5,1,72,8.2,9,11,266.1,115.7,81.9,17,121,7.65,8.47,3.4,6,13
23,310,486,63.8,3725,27,5.6,14,2.9,71,7.7,7.5,12,266.1,93.7,55.7,25,173,6.95,6.77,4.9,3,6
29,320,471,67.9,3395,24,5.1,13,2.8,82,7.2,7,10.6,242.5,94.2,57.4,29,213,6.36,6.15,5.8,2,6
24,289,434,66.6,3223,24,5.5,12,2.8,70,7.4,7.3,11.2,230.2,95.4,72.8,24,143,6.72,6.59,5.2,1,11
30,280,427,65.6,3448,35,8.2,7,1.6,66,8.1,9,12.3,215.5,110.9,65.1,51,355,6.47,7.28,10.7,2,10
21,239,414,57.7,2865,17,4.1,15,3.6,76,6.9,6.1,12,220.4,77.6,47.9,30,204,5.99,5.24,6.8,1,4
26,243,403,60.3,2718,13,3.2,11,2.7,80,6.7,6.2,11.2,209.1,79.8,44.1,31,173,5.86,5.32,7.1,0,3
26,279,401,69.6,3074,21,5.2,7,1.7,58,7.7,7.9,11,279.5,102.2,64.9,31,202,6.65,6.89,7.2,2,5
21,217,393,55.2,2278,11,2.8,14,3.6,75,5.8,4.8,10.5,162.7,66.7,26.6,45,320,4.47,3.53,10.3,1,3
24,244,378,64.6,2992,19,5,14,3.7,64,7.9,7.3,12.3,272,90.2,71.8,27,157,7,6.38,6.7,0,3
31,226,365,61.9,2566,21,5.8,11,3,49,7,6.8,11.4,233.3,89.6,64.6,21,157,6.24,6.05,5.4,3,4
25,228,331,68.9,2528,11,3.3,8,2.4,61,7.6,7.2,11.1,180.6,92.3,53.1,42,243,6.13,5.75,11.3,2,7
22,169,320,52.8,2074,10,3.1,12,3.8,75,6.5,5.4,12.3,172.8,67.9,52.3,28,213,5.35,4.37,8,2,5
23,176,274,64.2,2277,13,4.7,10,3.6,85,8.3,7.6,12.9,284.6,90.8,56.2,17,127,7.39,6.74,5.8,0,3
30,176,274,64.2,1979,17,6.2,9,3.3,75,7.2,7,11.2,179.9,92.7,33.1,35,279,5.5,5.29,11.3,3,5
29,141,195,72.3,1413,7,3.6,4,2.1,83,7.2,7,10,282.6,96,69.5,9,47,6.7,6.5,4.4,2,4
